transaction_id,user_id,agent_id,transaction_date,amount,transaction_type,fee
49,917,19,2023-02-17,257.45,Transfer,2.63
50,918,259,2023-11-21,65.12,Transfer,1.62
51,1134,116,2023-09-12,136.66,Cash In,3.21
52,1837,292,2023-11-16,50.0,Cash Out,1.06
53,2139,260,2023-11-01,24.58,Cash Out,0.32
54,4008,154,2023-09-17,644.96,Cash Out,17.78
55,1906,203,2023-06-17,208.97,Transfer,5.53
56,3990,131,2023-03-17,50.76,Cash Out,1.18
57,3486,128,2023-08-25,26.28,Cash In,0.6
58,4798,265,2023-10-24,59.53,Transfer,1.49
59,2121,270,2023-10-30,92.83,Cash In,2.52
60,2733,3,2023-06-20,401.19,Cash In,9.53
61,2770,258,2023-11-16,229.39,Bill Payment,6.23
62,1322,100,2023-01-29,89.3,Transfer,1.46
63,3717,53,2023-06-07,78.92,Transfer,1.95
64,3355,166,2023-01-29,54.29,Bill Payment,1.17
65,1529,149,2023-09-09,23.9,Cash Out,0.55
66,4744,163,2023-07-26,395.07,Cash Out,10.63
67,760,83,2023-12-14,127.61,Bill Payment,1.51
68,3413,22,2023-10-17,584.5,Cash Out,13.61
69,1358,20,2023-05-16,302.67,Bill Payment,4.57
70,2191,211,2023-04-27,236.31,Cash In,3.22
71,3482,8,2023-09-13,84.98,Transfer,2.38
72,949,154,2023-04-28,127.3,Cash Out,3.25
73,2080,51,2023-12-18,54.19,Cash In,0.89
74,1767,246,2023-03-29,321.44,Transfer,6.89
75,28,154,2023-05-27,125.58,Cash In,3.28
76,2471,246,2023-03-16,311.31,Bill Payment,6.64
77,2539,43,2023-03-22,17.14,Bill Payment,0.25
78,160,163,2023-06-05,75.57,Transfer,1.86
79,2893,147,2023-10-07,18.39,Cash In,0.46
80,4114,156,2023-06-15,178.34,Cash Out,4.26
81,3723,3,2023-07-23,257.26,Cash Out,3.13
82,3732,146,2023-10-14,307.23,Transfer,8.98
83,2472,269,2023-02-17,92.53,Cash In,1.94
84,5000,244,2023-07-23,29.43,Bill Payment,0.65
85,4851,296,2023-08-20,691.24,Transfer,10.31
86,1571,295,2023-09-16,42.13,Cash In,0.88
87,837,57,2023-06-15,77.99,Cash Out,1.51
88,4990,280,2023-10-12,72.69,Cash In,1.52
89,3939,119,2023-08-20,293.92,Transfer,7.58
90,2287,22,2023-04-18,362.19,Transfer,8.91
91,3406,51,2023-10-28,67.22,Cash In,1.79
92,2671,212,2023-08-09,66.62,Bill Payment,1.03
93,4113,216,2023-09-03,234.09,Bill Payment,3.16
94,4748,76,2023-08-26,391.73,Cash Out,5.11
95,4356,204,2023-08-06,32.82,Cash In,0.82
96,1628,166,2023-12-02,824.59,Transfer,16.16
97,1867,61,2023-11-27,229.89,Cash Out,2.32
98,205,279,2023-12-24,71.8,Cash In,1.7
99,3580,260,2023-01-26,290.06,Transfer,3.12
100,3175,76,2023-01-30,9.63,Transfer,0.12
101,792,209,2023-08-22,481.62,Cash In,7.95
102,4093,37,2023-04-13,129.63,Cash Out,1.48
103,3748,93,2023-12-09,47.79,Transfer,0.82
104,1106,134,2023-05-04,225.47,Cash Out,5.06
105,1091,239,2023-10-11,19.54,Cash In,0.41
106,1608,136,2023-05-30,128.81,Cash In,3.4
107,1840,223,2023-07-11,559.06,Cash Out,11.43
108,3398,148,2023-08-24,203.53,Cash In,3.89
109,67,252,2023-06-24,19.85,Cash In,0.44
110,4780,79,2023-03-25,418.01,Bill Payment,5.4
111,1279,244,2023-04-12,353.72,Cash In,10.52
112,4159,120,2023-06-24,269.13,Cash Out,6.79
113,814,122,2023-12-06,35.68,Cash Out,0.68
114,403,212,2023-02-17,192.34,Cash In,3.88
115,2003,284,2023-01-02,307.93,Transfer,4.27
116,4167,254,2023-10-06,250.01,Cash Out,7.29
117,2926,18,2023-12-07,81.17,Cash In,1.16
118,2994,263,2023-11-24,598.97,Transfer,8.8
119,1087,277,2023-02-12,44.46,Transfer,0.94
120,4341,41,2023-07-26,115.28,Cash Out,2.24
121,2567,31,2023-04-11,105.54,Transfer,2.84
122,4489,298,2023-05-22,453.46,Bill Payment,8.96
123,772,118,2023-01-28,46.81,Cash Out,1.4
124,3673,234,2023-03-15,294.89,Cash In,6.12
125,3249,43,2023-01-06,151.94,Transfer,3.64
126,1670,228,2023-08-26,187.25,Transfer,5.61
127,1557,134,2023-09-12,3.76,Transfer,0.08
128,2959,157,2023-01-20,224.96,Cash In,2.3
129,1152,206,2023-03-09,50.94,Cash Out,1.1
130,1218,89,2023-01-31,120.95,Cash In,3.17
131,2232,99,2023-06-27,129.15,Transfer,3.08
132,4343,37,2023-02-12,654.15,Cash In,11.26
133,3945,199,2023-12-11,125.28,Cash Out,2.8
134,2043,55,2023-03-30,108.1,Transfer,2.15
135,706,105,2023-02-17,285.7,Cash In,6.23
136,2670,243,2023-07-31,109.05,Transfer,2.42
137,2114,74,2023-08-21,416.81,Cash Out,10.46
138,2978,104,2023-04-27,150.69,Transfer,1.84
139,4350,221,2023-10-11,410.45,Transfer,4.65
140,4379,16,2023-05-01,219.29,Cash In,4.02
141,423,29,2023-07-20,210.56,Transfer,4.09
142,2022,264,2023-09-06,166.63,Cash In,4.42
143,3794,183,2023-07-20,137.14,Cash Out,1.96
144,4132,52,2023-02-08,90.37,Transfer,1.92
145,531,106,2023-06-10,322.82,Cash In,6.34
146,91,25,2023-08-16,204.23,Cash Out,2.94
147,3373,92,2023-08-18,20.09,Cash In,0.57
148,1943,26,2023-06-20,226.02,Cash Out,4.04
149,3806,90,2023-09-14,9.94,Transfer,0.11
150,1241,175,2023-07-25,745.93,Cash Out,11.35
151,1759,30,2023-12-03,77.44,Transfer,2.3
152,98,14,2023-03-29,25.06,Transfer,0.3
153,1480,130,2023-08-29,52.75,Cash In,1.37
154,4627,131,2023-05-26,600.78,Cash In,11.21
155,1833,6,2023-09-22,136.18,Cash In,3.01
156,2586,211,2023-09-06,755.14,Transfer,11.99
157,3648,149,2023-01-13,78.87,Cash Out,1.29
158,80,276,2023-10-26,8.83,Bill Payment,0.16
159,4710,149,2023-04-08,502.43,Cash In,7.63
160,2224,40,2023-02-12,500.08,Transfer,11.94
161,2570,196,2023-08-11,87.09,Cash Out,1.65
162,1773,124,2023-06-08,215.93,Bill Payment,3.07
163,4519,71,2023-01-25,59.47,Bill Payment,0.74
164,1124,199,2023-08-04,196.18,Bill Payment,5.41
165,3812,33,2023-03-17,13.28,Cash Out,0.29
166,3475,90,2023-12-07,85.0,Transfer,2.23
167,2624,90,2023-09-30,98.06,Cash In,2.1
168,1404,276,2023-06-05,74.61,Transfer,1.6
169,2579,275,2023-01-14,134.88,Cash In,1.77
170,332,199,2023-07-20,214.64,Cash In,5.82
171,4749,56,2023-03-09,138.63,Bill Payment,2.47
172,3609,237,2023-03-10,118.49,Cash Out,2.68
173,740,1,2023-01-13,217.1,Transfer,4.32
174,4607,167,2023-03-26,374.0,Transfer,9.8
175,42,37,2023-09-27,117.48,Cash In,1.45
176,4981,274,2023-05-26,128.11,Cash In,2.98
177,3879,79,2023-05-17,406.74,Cash Out,5.51
178,1950,242,2023-12-12,1.64,Cash In,0.03
179,3461,134,2023-08-22,106.31,Cash Out,1.14
180,2129,252,2023-10-27,4.5,Cash In,0.12
181,4498,22,2023-01-27,94.5,Bill Payment,0.97
182,2155,267,2023-06-18,60.0,Cash Out,1.52
183,1238,218,2023-02-25,162.8,Transfer,3.31
184,1767,72,2023-12-16,125.24,Cash Out,2.45
185,1842,9,2023-02-13,21.65,Bill Payment,0.4
186,506,135,2023-01-10,152.08,Cash Out,4.02
187,1842,195,2023-03-11,236.61,Cash In,4.55
188,4816,58,2023-10-09,11.53,Cash Out,0.27
189,1395,284,2023-08-04,6.62,Transfer,0.13
190,257,287,2023-02-10,431.86,Cash Out,12.47
191,1721,251,2023-10-29,167.32,Transfer,4.78
192,1072,91,2023-01-14,23.02,Cash In,0.38
193,1623,204,2023-10-28,253.35,Cash Out,3.55
194,4993,8,2023-06-03,388.49,Cash Out,5.9
195,2067,108,2023-04-10,682.53,Cash Out,9.93
196,1070,233,2023-01-07,354.37,Cash In,4.72
197,451,274,2023-06-14,277.37,Transfer,6.65
198,898,120,2023-08-16,421.34,Cash In,5.55
199,4837,11,2023-07-13,133.7,Transfer,2.96
200,3729,183,2023-10-12,133.23,Cash In,3.34
201,82,179,2023-12-28,225.37,Cash Out,4.66
202,737,206,2023-08-20,416.56,Cash In,5.68
203,4175,92,2023-04-29,46.83,Cash Out,1.13
204,3945,227,2023-09-01,112.9,Cash In,1.78
205,2208,6,2023-07-02,281.21,Cash In,5.78
206,3949,12,2023-09-22,66.44,Cash In,1.52
207,2003,250,2023-04-09,11.44,Cash In,0.19
208,1692,198,2023-04-03,106.18,Bill Payment,1.62
209,1180,127,2023-05-26,719.18,Cash In,18.07
210,2936,37,2023-06-07,207.74,Cash In,2.75
211,2516,8,2023-03-18,300.79,Cash Out,4.16
212,4949,165,2023-10-08,21.34,Bill Payment,0.29
213,462,120,2023-06-03,150.55,Cash Out,2.2
214,2902,232,2023-07-31,418.68,Cash Out,4.21
215,117,225,2023-08-05,423.81,Bill Payment,10.74
216,1655,233,2023-05-18,777.94,Cash Out,16.08
217,4562,287,2023-04-27,348.27,Transfer,4.27
218,1799,226,2023-03-18,414.35,Cash Out,4.53
219,660,145,2023-06-09,45.95,Transfer,0.94
220,3238,250,2023-12-21,5.28,Transfer,0.16
221,2123,272,2023-02-23,213.15,Transfer,5.61
222,3820,286,2023-10-08,234.13,Transfer,5.37
223,3344,39,2023-06-06,498.73,Bill Payment,7.29
224,2551,44,2023-06-12,162.91,Transfer,4.2
225,4891,37,2023-02-21,110.36,Cash In,2.83
226,1587,256,2023-04-26,544.75,Cash In,15.51
227,4683,211,2023-05-04,44.37,Bill Payment,1.29
228,2748,92,2023-08-01,126.48,Cash Out,3.4
229,635,19,2023-06-25,8.89,Cash In,0.26
230,2883,100,2023-09-20,316.58,Cash In,3.43
231,2812,147,2023-07-18,195.47,Cash In,2.95
232,4454,69,2023-03-26,68.51,Cash In,1.16
233,4016,130,2023-02-22,154.93,Cash In,2.39
234,2740,25,2023-12-03,232.42,Cash In,6.43
235,1885,115,2023-08-27,313.43,Cash Out,7.95
236,1519,90,2023-03-09,21.78,Cash In,0.46
237,622,286,2023-06-22,42.78,Cash In,1.11
238,4578,273,2023-04-23,147.95,Transfer,1.72
239,1538,212,2023-10-16,247.77,Cash In,6.41
240,2338,111,2023-07-04,424.06,Cash Out,4.67
241,1995,76,2023-10-01,157.34,Cash In,2.84
242,2071,296,2023-05-24,72.67,Cash Out,0.92
243,4902,88,2023-04-05,390.12,Cash Out,11.51
244,4931,170,2023-02-17,647.93,Cash Out,7.42
245,2366,147,2023-10-24,57.29,Cash In,1.31
246,2846,240,2023-03-22,184.35,Cash In,2.57
247,3039,55,2023-11-15,77.57,Transfer,1.58
248,855,92,2023-06-06,392.59,Cash Out,7.9
249,2729,253,2023-08-21,105.06,Transfer,1.82
250,916,157,2023-09-30,490.47,Cash Out,14.1
251,4939,251,2023-01-26,128.84,Cash Out,1.4
252,132,264,2023-03-20,263.4,Cash In,6.47
253,1117,8,2023-06-08,84.53,Cash In,2.44
254,3594,299,2023-02-18,149.66,Transfer,2.9
255,861,98,2023-06-26,234.5,Cash Out,5.56
256,294,50,2023-07-11,42.22,Cash Out,0.98
257,2689,213,2023-06-22,38.3,Transfer,1.11
258,1000,4,2023-06-17,18.2,Cash Out,0.32
259,2297,292,2023-05-05,86.85,Cash In,2.15
260,3686,241,2023-09-15,177.97,Cash Out,2.66
261,287,19,2023-06-30,22.89,Cash Out,0.63
262,450,270,2023-07-26,32.44,Cash In,0.88
263,2339,201,2023-02-24,309.33,Cash Out,5.61
264,3241,104,2023-06-01,114.88,Transfer,1.88
265,2704,82,2023-06-05,18.68,Cash Out,0.41
266,3117,55,2023-09-19,76.85,Cash In,1.66
267,4572,288,2023-09-04,124.19,Bill Payment,2.73
268,253,236,2023-04-29,53.97,Transfer,0.59
269,1420,164,2023-07-13,226.34,Cash In,2.44
270,2337,85,2023-09-23,328.99,Cash Out,9.83
271,1236,219,2023-09-10,298.13,Cash In,8.58
272,1000,213,2023-01-03,167.74,Cash In,3.76
273,3761,203,2023-09-05,121.76,Cash In,2.92
274,4117,300,2023-05-19,522.51,Cash Out,5.48
275,4412,242,2023-04-21,24.32,Cash In,0.58
276,2612,162,2023-06-02,143.03,Transfer,3.27
277,1447,179,2023-11-18,77.45,Cash Out,1.87
278,2171,92,2023-05-17,117.89,Transfer,1.82
279,2922,138,2023-07-08,204.28,Cash Out,4.42
280,3684,112,2023-07-30,172.53,Cash In,2.39
281,2262,169,2023-08-29,250.01,Cash In,4.28
282,1946,101,2023-07-06,3.7,Cash Out,0.06
283,4935,296,2023-04-04,130.92,Cash In,2.16
284,1854,193,2023-05-09,235.28,Cash In,3.19
285,600,207,2023-05-09,316.42,Bill Payment,9.03
286,4888,286,2023-01-11,24.21,Cash In,0.37
287,4136,216,2023-07-27,76.26,Cash Out,2.07
288,3404,228,2023-01-29,175.95,Cash Out,4.53
289,2991,43,2023-04-13,97.33,Cash In,2.36
290,4744,181,2023-08-27,98.92,Cash Out,1.13
291,4278,286,2023-01-07,35.28,Transfer,0.44
292,4361,297,2023-06-15,49.46,Cash In,0.71
293,2819,44,2023-01-04,65.96,Cash Out,1.33
294,863,37,2023-08-16,252.8,Bill Payment,4.89
295,4528,249,2023-09-23,107.33,Bill Payment,1.22
296,4056,83,2023-02-23,47.23,Transfer,0.81
297,1220,257,2023-09-09,12.96,Cash In,0.14
298,3796,217,2023-09-05,164.85,Bill Payment,1.81
299,4605,10,2023-09-23,46.01,Bill Payment,1.07
300,4543,238,2023-08-24,178.26,Cash In,3.44
301,528,26,2023-04-26,157.6,Cash Out,1.95
302,2923,251,2023-02-10,82.07,Cash Out,1.04
303,3205,215,2023-09-20,53.4,Transfer,0.97
304,1163,145,2023-07-03,114.78,Bill Payment,1.4
305,4765,222,2023-01-20,81.8,Cash In,0.99
306,3565,18,2023-09-19,81.19,Bill Payment,2.14
307,847,228,2023-12-08,569.74,Bill Payment,13.12
308,2118,236,2023-09-11,178.57,Cash Out,5.12
309,3087,276,2023-01-16,215.95,Transfer,6.02
310,1771,121,2023-09-29,43.05,Cash Out,0.58
311,3284,62,2023-04-08,102.25,Transfer,1.93
312,1826,187,2023-01-03,59.8,Cash Out,0.66
313,3324,25,2023-12-08,520.75,Transfer,7.47
314,446,96,2023-10-11,122.75,Cash In,2.29
315,1026,193,2023-04-12,492.71,Cash In,10.18
316,1772,254,2023-02-27,139.56,Cash In,4.14
317,1360,67,2023-07-08,737.64,Bill Payment,8.3
318,19,40,2023-04-16,234.09,Transfer,2.83
319,561,224,2023-06-17,174.17,Cash Out,2.85
320,472,222,2023-03-26,210.01,Cash In,5.16
321,28,103,2023-02-02,21.14,Cash Out,0.22
322,560,248,2023-08-08,196.5,Cash In,2.63
323,2656,162,2023-10-11,72.08,Cash In,0.8
324,3237,264,2023-10-03,298.29,Bill Payment,7.31
325,4554,25,2023-08-11,102.84,Transfer,1.8
326,945,154,2023-06-29,411.31,Cash In,6.54
327,3949,219,2023-12-03,90.53,Transfer,1.51
328,3657,254,2023-03-19,66.77,Cash Out,1.94
329,4964,215,2023-06-13,140.67,Cash In,2.06
330,3064,169,2023-08-13,122.63,Cash Out,1.23
331,1980,80,2023-10-04,11.65,Cash In,0.17
332,2717,72,2023-02-06,292.54,Cash Out,4.35
333,4922,63,2023-12-28,99.16,Cash Out,2.78
334,816,75,2023-10-01,122.84,Cash Out,3.05
335,2327,263,2023-01-18,248.09,Transfer,4.26
336,2331,98,2023-07-16,9.9,Cash In,0.29
337,1003,85,2023-03-17,57.97,Cash Out,0.79
338,1543,273,2023-09-06,49.77,Cash In,0.98
339,4205,149,2023-04-22,149.72,Cash In,3.1
340,1230,6,2023-11-08,386.64,Cash In,4.72
341,3306,109,2023-01-02,129.76,Cash Out,1.59
342,2530,199,2023-10-04,73.38,Cash Out,1.49
343,1431,38,2023-09-29,21.56,Transfer,0.23
344,3913,128,2023-06-13,0.54,Transfer,0.01
345,1533,140,2023-04-09,66.47,Transfer,1.32
346,1893,248,2023-03-25,124.86,Cash Out,3.64
347,3125,259,2023-10-17,88.24,Cash Out,1.61
348,1422,147,2023-04-08,122.93,Transfer,2.54
349,391,195,2023-01-20,115.87,Transfer,2.31
350,2819,215,2023-03-17,119.63,Cash In,1.46
351,1870,241,2023-08-25,222.26,Cash Out,5.98
352,2961,133,2023-05-31,93.01,Transfer,2.18
353,1196,29,2023-10-16,342.91,Cash Out,7.64
354,2606,98,2023-05-15,322.87,Cash In,7.59
355,858,182,2023-02-20,52.66,Cash Out,0.9
356,3228,152,2023-06-22,23.94,Bill Payment,0.43
357,1517,103,2023-02-17,470.49,Transfer,6.72
358,1154,288,2023-04-24,37.59,Cash Out,0.75
359,843,235,2023-03-20,209.09,Bill Payment,5.62
360,1683,133,2023-11-27,401.74,Transfer,7.8
361,295,230,2023-09-12,1.03,Cash In,0.02
362,645,35,2023-11-21,61.94,Cash In,1.39
363,3634,80,2023-07-11,68.03,Transfer,1.96
364,2136,242,2023-09-05,234.26,Cash In,3.74
365,111,133,2023-09-27,207.37,Bill Payment,3.08
366,584,9,2023-08-23,161.07,Transfer,1.82
367,3226,253,2023-12-26,488.03,Cash In,13.74
368,1487,33,2023-02-13,868.79,Bill Payment,19.71
369,4865,187,2023-08-12,14.07,Bill Payment,0.42
370,1649,11,2023-01-21,410.51,Cash In,11.18
371,2382,69,2023-08-05,47.99,Cash In,0.53
372,106,138,2023-07-11,33.48,Cash In,0.86
373,3554,131,2023-02-25,303.76,Cash In,3.24
374,1695,251,2023-01-11,200.5,Transfer,3.37
375,1734,123,2023-12-23,12.33,Cash In,0.14
376,382,273,2023-02-26,48.49,Cash In,0.95
377,2737,243,2023-08-11,248.96,Cash In,4.49
378,4357,162,2023-04-15,2.15,Cash Out,0.05
379,1317,95,2023-08-02,67.09,Cash Out,1.41
380,2703,162,2023-03-22,120.03,Transfer,3.38
381,4916,284,2023-04-19,487.46,Bill Payment,7.52
382,4075,229,2023-12-09,379.92,Cash In,9.34
383,4805,116,2023-02-07,48.9,Transfer,0.8
384,907,221,2023-04-30,73.08,Cash In,1.34
385,663,169,2023-06-05,146.12,Transfer,1.65
386,463,145,2023-01-07,114.62,Cash In,2.63
387,2903,286,2023-05-10,293.32,Transfer,7.36
388,4681,182,2023-02-13,604.2,Transfer,13.91
389,943,275,2023-07-13,194.34,Transfer,3.7
390,158,37,2023-05-30,23.79,Cash In,0.3
391,3310,36,2023-09-05,116.55,Cash In,1.82
392,1327,68,2023-04-08,158.44,Cash Out,2.32
393,2718,121,2023-02-06,620.98,Cash In,17.93
394,2669,155,2023-11-09,84.66,Cash Out,0.92
395,2569,205,2023-05-19,221.45,Cash Out,5.07
396,3393,44,2023-03-02,2.27,Cash In,0.05
397,2107,289,2023-05-22,114.79,Cash In,2.49
398,4800,90,2023-03-13,8.26,Cash Out,0.11
399,648,212,2023-03-22,54.11,Transfer,1.52
400,3323,63,2023-03-18,126.71,Transfer,1.42
401,2939,72,2023-08-20,174.14,Bill Payment,1.75
402,2484,290,2023-09-20,418.57,Cash Out,9.93
403,4242,27,2023-03-20,40.87,Transfer,0.99
404,2907,53,2023-04-20,73.82,Transfer,0.81
405,3026,242,2023-09-28,162.94,Cash Out,1.92
406,1376,293,2023-08-23,47.82,Cash In,1.43
407,1824,100,2023-08-16,476.15,Cash In,5.68
408,245,79,2023-07-25,414.19,Transfer,11.43
409,2349,90,2023-04-04,435.84,Transfer,4.94
410,868,25,2023-07-09,254.8,Cash In,6.85
411,2862,161,2023-07-05,1117.11,Transfer,32.8
412,480,195,2023-04-28,349.97,Transfer,3.72
413,2463,201,2023-02-16,137.03,Bill Payment,2.52
414,1936,166,2023-10-19,268.46,Cash In,4.04
415,3374,222,2023-05-07,20.15,Cash In,0.32
416,3022,283,2023-03-19,500.33,Cash Out,13.86
417,3193,13,2023-01-04,829.17,Cash In,15.96
418,88,246,2023-11-25,388.99,Cash In,8.39
419,1241,88,2023-12-19,7.25,Cash In,0.07
420,573,140,2023-02-27,36.11,Transfer,0.97
421,814,256,2023-09-04,22.3,Cash Out,0.28
422,179,276,2023-07-07,110.9,Cash Out,3.26
423,1726,146,2023-07-19,7.77,Transfer,0.18
424,163,7,2023-03-20,574.17,Cash In,13.61
425,2641,246,2023-08-18,175.92,Cash In,2.78
426,1006,204,2023-11-17,167.65,Cash In,2.58
427,2349,240,2023-06-04,118.12,Cash In,2.66
428,2422,94,2023-03-19,82.46,Cash Out,1.67
429,2756,8,2023-01-07,132.44,Cash In,3.12
430,4299,170,2023-03-29,145.77,Transfer,1.52
431,4143,119,2023-12-02,238.0,Cash Out,3.09
432,4559,246,2023-07-12,36.12,Transfer,1.04
433,3742,128,2023-08-22,171.24,Cash Out,3.61
434,4504,222,2023-11-28,173.09,Transfer,5.08
435,1218,63,2023-10-24,91.45,Transfer,1.97
436,2475,117,2023-03-15,666.46,Transfer,17.19
437,930,109,2023-10-25,273.38,Transfer,5.82
438,317,234,2023-11-01,248.11,Cash In,4.6
439,1503,205,2023-11-12,412.91,Cash Out,5.52
440,421,88,2023-01-12,82.77,Cash In,1.35
441,4359,240,2023-10-19,47.82,Cash In,1.26
442,1450,198,2023-10-25,115.35,Cash In,1.38
443,428,4,2023-12-18,182.04,Cash In,2.86
444,397,106,2023-03-22,163.11,Transfer,4.2
445,796,107,2023-10-03,49.8,Bill Payment,1.33
446,107,252,2023-02-07,62.58,Cash In,1.08
447,4050,186,2023-05-13,520.03,Cash Out,8.31
448,98,226,2023-07-19,16.92,Transfer,0.41
449,1904,21,2023-09-29,140.26,Cash Out,3.46
450,3571,154,2023-03-01,128.74,Transfer,2.54
451,3302,224,2023-04-06,96.7,Cash Out,1.54
452,43,86,2023-01-03,306.13,Transfer,5.09
453,1578,41,2023-07-20,511.71,Transfer,10.4
454,4191,172,2023-05-02,1180.95,Transfer,18.28
455,4284,160,2023-08-16,26.19,Cash Out,0.56
456,385,160,2023-02-02,8.76,Cash In,0.09
457,4915,51,2023-11-22,64.4,Cash Out,1.07
458,3472,118,2023-04-06,229.46,Cash Out,3.2
459,3578,280,2023-10-01,103.68,Cash Out,2.75
460,3239,172,2023-09-17,125.44,Cash Out,1.68
461,1697,84,2023-06-21,1491.17,Bill Payment,40.8
462,2135,293,2023-08-26,135.19,Cash Out,1.36
463,3893,66,2023-12-14,493.84,Cash In,8.95
464,2537,270,2023-06-12,106.09,Transfer,1.48
465,4322,271,2023-04-08,116.02,Bill Payment,2.32
466,2393,61,2023-02-03,295.22,Cash Out,5.3
467,4614,177,2023-04-23,463.44,Cash In,6.73
468,3816,117,2023-06-14,335.26,Cash In,9.0
469,296,136,2023-08-18,127.52,Bill Payment,2.87
470,414,259,2023-07-07,239.49,Cash In,5.35
471,1996,256,2023-04-18,61.24,Cash In,1.17
472,4,271,2023-07-28,16.07,Bill Payment,0.33
473,178,32,2023-10-06,34.4,Cash Out,0.47
474,746,254,2023-04-25,4.87,Transfer,0.13
475,4355,267,2023-02-03,117.58,Cash In,2.92
476,652,282,2023-02-27,213.22,Cash In,6.26
477,3890,7,2023-03-30,6.8,Cash In,0.08
478,3272,39,2023-10-31,10.64,Cash Out,0.24
479,2483,4,2023-03-13,147.13,Transfer,2.86
480,290,30,2023-03-09,561.28,Transfer,16.38
481,803,166,2023-05-14,30.49,Transfer,0.79
482,2531,36,2023-03-29,226.96,Cash Out,4.34
483,234,211,2023-07-31,212.53,Cash Out,5.02
484,408,113,2023-09-16,73.04,Bill Payment,1.22
485,694,117,2023-12-27,15.79,Transfer,0.46
486,1170,51,2023-11-10,187.9,Cash In,3.63
487,4658,15,2023-01-23,117.13,Cash In,1.71
488,2478,201,2023-07-04,74.78,Transfer,1.89
489,432,124,2023-03-24,302.93,Bill Payment,5.52
490,2545,156,2023-05-09,103.82,Transfer,1.75
491,983,208,2023-09-16,191.99,Cash Out,3.43
492,3161,242,2023-10-06,59.21,Cash In,0.6
493,3045,164,2023-01-01,16.31,Cash In,0.18
494,4993,260,2023-01-05,33.72,Bill Payment,0.51
495,3925,277,2023-06-05,91.66,Transfer,1.63
496,3313,193,2023-03-10,264.71,Cash In,3.49
497,4874,238,2023-03-24,176.2,Transfer,1.78
498,4319,50,2023-10-27,94.39,Transfer,1.01
499,1689,213,2023-07-19,128.6,Bill Payment,3.25
500,468,266,2023-03-22,174.29,Transfer,1.83
501,2617,90,2023-10-08,37.08,Transfer,0.97
502,1346,144,2023-03-17,63.44,Transfer,0.85
503,2423,166,2023-08-26,64.73,Cash In,1.79
504,4508,67,2023-10-12,21.75,Cash In,0.54
505,4722,20,2023-08-23,44.57,Cash Out,0.65
506,1012,111,2023-10-17,163.87,Cash In,1.7
507,1678,69,2023-02-28,51.32,Cash In,1.26
508,3698,25,2023-08-13,174.45,Cash Out,2.01
509,4898,12,2023-07-21,4.86,Cash In,0.14
510,4067,65,2023-07-29,38.19,Cash Out,0.47
